1,後輩から頼りにされる日,今日はどんどん外出して、仲間と過ごしましょう！トラブルがあっても、うまく回避できそうです,ブルー,お好み焼き,山羊座,O型
2,運気は上々で、共同作業が楽しい日,少しくらい気が重くても、大事なことから優先すると吉☆,ゴールド,フランスパン,水瓶座,AB型
3,仲間の協力に感謝できる日,少しくらい気が重くても、大事なことから優先すると吉☆,グレー,さが錦（抹茶）,水瓶座,A型
4,ファッションや美容にお金をかけると、高い効果が期待できる日,ミーティングなどでは、ぜひ思ったことを口にしてみてください☆,パープル,マウスパッド,魚座,B型
5,お金がなくてピンチな場面が訪れても、誰かがスっと助けてくれる日,フィーリングだけで判断せず、常に冷静になってみて,ゴールド,ものさし,牡羊座,AB型
6,ファッションや美容にお金をかけると、高い効果が期待できる日,肩の力を抜き、人付き合いをして,レッド,幕の内弁当,蟹座,O型
7,恋愛は好調です,悩んでいる人間関係は、意外な方法であっさりクリアできそう♪,グリーン,ティッシュペーパー,牡羊座,O型
8,偶然やラッキーを期待しているだけで、何事もうまくいく日,明るく接していけば、いずれお付き合いできるかも,ブラック,目玉焼き,山羊座,AB型
9,中途半端になって終わっていたことを、再開できる日,ちょっとお金がかかっても、自分への投資と思ってみてください♪,イエロー,オムライス,蠍座,A型
10,気持ちが大きくなる日,理想の人が、目の前に現れるかも,グレー,オムライス,双子座,B型
11,強気さと慎重さの両方が大事な日,自分の意見はアピールしておいて,グレー,小城羊羹,蠍座,O型
12,魅力アップのための努力が実る日,あなたが料理をしてあげると喜ばれます☆家の掃除をするときは、まずは水回りをしっかりと,ホワイト,さが錦,蟹座,B型
13,気になっている人があなたのそばに来てくれる日,仲間には、さりげない気遣いができそう,レッド,餃子,乙女座,A型
14,生活リズムを改めてみるといい日,パっと思いついたことも、実践すると意外な成果が出るはず☆,シルバー,英会話の教材,牡羊座,A型
15,いろんな人に尽くしたくなる日,道に迷っていたら、いつの間にか目的地に、なんてことも,ブラック,お刺身,魚座,AB型
16,運気は上々で、静かに過ごせる日,大胆な行動は、今日は自制しておきましょう,オレンジ,キャラクターグッズ,双子座,AB型
17,新しい恋には焦りは禁物,他人の嫌なところが目に付いたら、反面教師として受け止めて,ブラック,住宅情報誌,射手座,AB型
18,運気は好調,スケジュール管理にはくれぐれも気を付けて,シルバー,だてメガネ,水瓶座,O型
19,他人の物まねをするよりも、あなたがやりたいことを集中してやるべき日,いつもとは違うところでランチをすると、嬉しい出会いがあるかもしれません,オレンジ,アップルパイ,牡羊座,B型
20,運気は好調,運動が苦手でも、自宅で動画を見ながら簡単ストレッチを試してみて,レッド,グリーンピース,蟹座,A型
21,対人関係がいい一日,ケチにならずに、好きなものを手に入れて,ゴールド,ファッション誌,天秤座,AB型
22,人付き合いが充実していく日,スキルアップや、夢を叶えるための努力に対し、前向きな気持ちになれるでしょう,グリーン,ぬいぐるみ,射手座,A型
23,恋愛運が高まる日,周りはあなたの味方なので、できるだけ頼って,シルバー,食器用スポンジ,魚座,A型
24,コミュニケーション運が好調な日,感謝の気持ちは、恥ずかしがらずに表現して,グリーン,段ボール,牡牛座,B型
25,新しい仕事のスキルを身につけたい日,誘われた用事は、ためらわずにぜひ参加を,ブラック,納豆,双子座,O型
26,年上の友達との縁がある日,未経験の仕事でも、自信を持って挑めば、難なくこなしていけるでしょう,ピンク,ロングスカート,獅子座,A型
27,運気はまずまず安定,感情を思いっきり高めることで、疲れも癒されます,グレー,大きな鏡,牡牛座,A型
28,今日は集中力がアップ,やる気が高まっているので、いい成果が期待できるでしょう,ブルー,酵素ドリンク,山羊座,A型
29,向上心が高まって、勉強への意欲が磨かれる日,途中で投げ出すと、作業が倍になって返ってきます,オレンジ,バスローブ,獅子座,O型
30,冷静さを忘れないでいたい日,筋トレ動画やダンスエクササイズ動画なら、楽しみながら行えそう,グリーン,映画のチケット,蟹座,AB型
31,自由な時間が作れそう,楽しい一日になりそう,ブルー,ゴーヤチャンプル,射手座,O型
32,いろんな出会いがありそうな日,古い映画を見てみると、予想外のアイディアが浮かぶかもしれません,イエロー,新しいお皿,魚座,O型
